244.63,blood elf paladin,/character/eu/twisting-nether/Krattoss,,12
306.50,orc shaman,/character/eu/twisting-nether/Kutatgu,,
330.94,tauren druid,/character/eu/twisting-nether/Past%C3%AFrma,,21
358.31,blood elf mage,/character/eu/twisting-nether/Meagline,,30
372.69,blood elf deathknight,/character/eu/twisting-nether/Tutsak,,35
343.81,undead mage,/character/eu/twisting-nether/Trickymagic,,19
375.56,orc shaman,/character/eu/twisting-nether/Sakor,,28
379.81,troll druid,/character/eu/twisting-nether/Naarjin,,32
369.00,blood elf paladin,/character/eu/twisting-nether/Sc%C3%A2rlet,,23
381.13,blood elf priest,/character/eu/twisting-nether/Azurewrathh,,35
376.94,blood elf rogue,/character/eu/twisting-nether/Sickko,,29
372.63,blood elf hunter,/character/eu/twisting-nether/Schk,,27
370.94,blood elf paladin,/character/eu/twisting-nether/Hollydin,,26
381.38,blood elf monk,/character/eu/twisting-nether/Kumonk,,32
376.63,blood elf warrior,/character/eu/twisting-nether/Infxios,,29
374.25,nightborne mage,/character/eu/twisting-nether/Sylvonia,,25
380.38,blood elf deathknight,/character/eu/twisting-nether/%C3%83kasha,,29
376.88,blood elf demon hunter,/character/eu/twisting-nether/Lavidaa,,26
382.00,tauren deathknight,/character/eu/twisting-nether/Bloodmilk,,37
385.75,blood elf warlock,/character/eu/twisting-nether/Persphon%C3%A9,,37
374.38,undead monk,/character/eu/twisting-nether/Bon%C3%AAfist,,31
375.50,blood elf paladin,/character/eu/twisting-nether/Lesiong,,30
372.50,undead rogue,/character/eu/twisting-nether/Schkn,,31
372.81,blood elf warrior,/character/eu/twisting-nether/T%C3%AEtan%C3%AEa,,31
374.31,blood elf warrior,/character/eu/twisting-nether/Eronae,,33
367.69,troll druid,/character/eu/twisting-nether/Capoeir%C3%A2,,25
407.31,tauren druid,/character/eu/twisting-nether/Bogahcan,454.20,47
372.25,mag'har orc hunter,/character/eu/twisting-nether/Fenkii,,29
361.69,troll mage,/character/eu/twisting-nether/Meylaage,,27
370.00,tauren warrior,/character/eu/twisting-nether/Ragemilk,,31
370.63,blood elf demon hunter,/character/eu/twisting-nether/Nicegirls,,26
363.19,orc rogue,/character/eu/twisting-nether/Lachka,,24
373.56,orc warrior,/character/eu/twisting-nether/Psikotrex,,27
361.25,troll shaman,/character/eu/twisting-nether/Drekkan,,21
353.06,blood elf hunter,/character/eu/twisting-nether/Xxb%C3%B4m,,23
358.69,orc deathknight,/character/eu/twisting-nether/S%C3%A2lv%C3%A2tore,,23
360.19,orc warlock,/character/eu/twisting-nether/Aylamoon,,25
351.31,blood elf mage,/character/eu/twisting-nether/Blondegirl,,19
